line,model,compatible
LINE_A,AAA,1
LINE_A,PT0163,1
LINE_A,PT0189,1
LINE_A,PT0193,1
LINE_A,TF900,1
LINE_B,AAA,1
LINE_B,PT0163,1
LINE_B,PT0189,1
LINE_B,PT0193,0
LINE_B,TF900,0
LINE_C,AAA,1
LINE_C,PT0163,0
LINE_C,PT0189,0
LINE_C,PT0193,0
LINE_C,TF900,1
LINE_D,AAA,0
LINE_D,PT0163,1
LINE_D,PT0189,0
LINE_D,PT0193,0
LINE_D,TF900,0
LINE_E,AAA,1
LINE_E,PT0163,0
LINE_E,PT0189,1
LINE_E,PT0193,0
LINE_E,TF900,0
LINE_F,AAA,0
LINE_F,PT0163,0
LINE_F,PT0189,0
LINE_F,PT0193,0
LINE_F,TF900,1
LINE_G,AAA,0
LINE_G,PT0163,0
LINE_G,PT0189,0
LINE_G,PT0193,1
LINE_G,TF900,0
LINE_H,AAA,0
LINE_H,PT0163,0
LINE_H,PT0189,0
LINE_H,PT0193,0
LINE_H,TF900,0
LINE_I,AAA,0
LINE_I,PT0163,0
LINE_I,PT0189,0
LINE_I,PT0193,0
LINE_I,TF900,0
LINE_J,AAA,0
LINE_J,PT0163,0
LINE_J,PT0189,0
LINE_J,PT0193,0
LINE_J,TF900,0
