line,process,stations,operators_per_station
LINE_1,PREM,18,1
LINE_1,ML,5,2
LINE_1,PTBI,1,2
LINE_1,PTBA,1,1
LINE_1,TBQ,1,1
LINE_1,PACK,5,30
LINE_2,PREM,18,1
LINE_2,ML,5,2
LINE_2,PTBI,1,2
LINE_2,PTBA,1,1
LINE_2,TBQ,1,1
LINE_2,PACK,5,30
LINE_3,PREM,18,1
LINE_3,ML,5,2
LINE_3,PTBI,1,2
LINE_3,PTBA,1,1
LINE_3,TBQ,1,1
LINE_3,PACK,5,30
LINE_4,PREM,18,1
LINE_4,ML,5,2
LINE_4,PTBI,1,2
LINE_4,PTBA,1,1
LINE_4,TBQ,1,1
LINE_4,PACK,5,30
LINE_6,PREM,18,1
LINE_6,ML,5,2
LINE_6,PTBI,1,2
LINE_6,PTBA,1,1
LINE_6,TBQ,1,1
LINE_6,PACK,5,30
LINE_6,PREM,18,1
LINE_6,ML,5,2
LINE_6,PTBI,1,2
LINE_6,PTBA,1,1
LINE_6,TBQ,1,1
LINE_6,PACK,5,30
LINE_7,PREM,7,1
LINE_7,ML,3,2
LINE_7,PTBI,1,1
LINE_7,PTBA,1,1
LINE_7,TBQ,1,1
LINE_7,PACK,1,1
LINE_8,PREM,7,1
LINE_8,ML,3,2
LINE_8,PTBI,1,1
LINE_8,PTBA,1,1
LINE_8,TBQ,1,1
LINE_8,PACK,1,1
LINE_9,PREM,7,1
LINE_9,ML,3,2
LINE_9,PTBI,1,1
LINE_9,PTBA,1,1
LINE_9,TBQ,1,1
LINE_9,PACK,1,1
LINE_10,PREM,7,1
LINE_10,ML,3,2
LINE_10,PTBI,1,1
LINE_10,PTBA,1,1
LINE_10,TBQ,1,1
LINE_10,PACK,1,1
