line;process;stations;operators_per_station;;
LINE_1;PREM;2.8;1;('LINE_1','PREM',2.8,1),;
LINE_1;ML;2;2;('LINE_1','ML',2,2),;
LINE_1;PRB;0.16;2;('LINE_1','PRB',0.16,2),;
LINE_1;PARA;0.16;1;('LINE_1','PARA',0.16,1),;
LINE_1;REP+EXP;0.33;2;('LINE_1','REP+EXP',0.33,2),;
LINE_2;PREM;2.8;1;('LINE_2','PREM',2.8,1),;
LINE_2;ML;2;2;('LINE_2','ML',2,2),;
LINE_2;PRB;0.16;2;('LINE_2','PRB',0.16,2),;
LINE_2;PARA;0.16;1;('LINE_2','PARA',0.16,1),;
LINE_2;REP+EXP;0.33;2;('LINE_2','REP+EXP',0.33,2),;
LINE_3;PREM;2.8;1;('LINE_3','PREM',2.8,1),;
LINE_3;ML;2;2;('LINE_3','ML',2,2),;
LINE_3;PRB;0.16;2;('LINE_3','PRB',0.16,2),;
LINE_3;PARA;0.16;1;('LINE_3','PARA',0.16,1),;
LINE_3;REP+EXP;0.33;2;('LINE_3','REP+EXP',0.33,2),;
LINE_4;PREM;2.8;1;('LINE_4','PREM',2.8,1),;
LINE_4;ML;2;2;('LINE_4','ML',2,2),;
LINE_4;PRB;0.16;2;('LINE_4','PRB',0.16,2),;
LINE_4;PARA;0.16;1;('LINE_4','PARA',0.16,1),;
LINE_4;REP+EXP;0.33;2;('LINE_4','REP+EXP',0.33,2),;
LINE_5;PREM;1.8;1;('LINE_5','PREM',1.8,1),;
LINE_5;ML;3;2;('LINE_5','ML',3,2),;
LINE_5;PRB;0.16;2;('LINE_5','PRB',0.16,2),;
LINE_5;PARA;0.16;1;('LINE_5','PARA',0.16,1),;
LINE_5;REP+EXP;0.33;2;('LINE_5','REP+EXP',0.33,2),;
LINE_6;PREM;1.8;1;('LINE_6','PREM',1.8,1),;
LINE_6;ML;3;2;('LINE_6','ML',3,2),;
LINE_6;PRB;0.16;2;('LINE_6','PRB',0.16,2),;
LINE_6;PARA;0.16;1;('LINE_6','PARA',0.16,1),;
LINE_6;REP+EXP;0.33;2;('LINE_6','REP+EXP',0.33,2),;
A1;PREM;0;0;('A1','PREM',0,0),;(A1,PREM,0,0)
A1;ML;0;0;('A1','ML',0,0),;
A1;PRB;0;0;('A1','PRB',0,0),;
A1;PARA;0;0;('A1','PARA',0,0),;
A1;REP+EXP;0;0;('A1','REP+EXP',0,0),;
A2;PREM;0;0;('A2','PREM',0,0),;
A2;ML;0;0;('A2','ML',0,0),;
A2;PRB;0;0;('A2','PRB',0,0),;
A2;PARA;0;0;('A2','PARA',0,0),;
A2;REP+EXP;0;0;('A2','REP+EXP',0,0),;
A3;PREM;0;0;('A3','PREM',0,0),;
A3;ML;0;0;('A3','ML',0,0),;
A3;PRB;0;0;('A3','PRB',0,0),;
A3;PARA;0;0;('A3','PARA',0,0),;
A3;REP+EXP;0;0;('A3','REP+EXP',0,0),;
LINE_7;PREM;1;1;('LINE_7','PREM',1,1),;
LINE_7;ML;1;4;('LINE_7','ML',1,4),;
LINE_7;PRB;0.7;2;('LINE_7','PRB',0.7,2),;
LINE_7;PARA;0.7;1;('LINE_7','PARA',0.7,1),;
LINE_7;REP+EXP;0.6;2;('LINE_7','REP+EXP',0.6,2),;
LINE_8;PREM;1;1;('LINE_8','PREM',1,1),;
LINE_8;ML;1;4;('LINE_8','ML',1,4),;
LINE_8;PRB;0.7;2;('LINE_8','PRB',0.7,2),;
LINE_8;PARA;0.7;1;('LINE_8','PARA',0.7,1),;
LINE_8;REP+EXP;0.6;2;('LINE_8','REP+EXP',0.6,2),;
LINE_9;PREM;1;1;('LINE_9','PREM',1,1),;
LINE_9;ML;1;4;('LINE_9','ML',1,4),;
LINE_9;PRB;0.7;2;('LINE_9','PRB',0.7,2),;
LINE_9;PARA;0.7;1;('LINE_9','PARA',0.7,1),;
LINE_9;REP+EXP;0.6;2;('LINE_9','REP+EXP',0.6,2),;
LINE_10;PREM;1;1;('LINE_10','PREM',1,1),;
LINE_10;ML;1;4;('LINE_10','ML',1,4),;
LINE_10;PRB;0.7;2;('LINE_10','PRB',0.7,2),;
LINE_10;PARA;0.7;1;('LINE_10','PARA',0.7,1),;
LINE_10;REP+EXP;0.6;2;('LINE_10','REP+EXP',0.6,2),;
LINE_11;PREM;1;1;('LINE_11','PREM',1,1),;
LINE_11;ML;1;4;('LINE_11','ML',1,4),;
LINE_11;PRB;0.7;2;('LINE_11','PRB',0.7,2),;
LINE_11;PARA;0.7;1;('LINE_11','PARA',0.7,1),;
LINE_11;REP+EXP;0.6;2;('LINE_11','REP+EXP',0.6,2),;
LINE_12;PREM;1;2;('LINE_12','PREM',1,2),;
LINE_12;ML;1;7;('LINE_12','ML',1,7),;
LINE_12;PRB;0.7;2;('LINE_12','PRB',0.7,2),;
LINE_12;PARA;0.7;1;('LINE_12','PARA',0.7,1),;
LINE_12;REP+EXP;0.6;2;('LINE_12','REP+EXP',0.6,2),;
LINE_13;PREM;1;2;('LINE_13','PREM',1,2),;
LINE_13;ML;1;7;('LINE_13','ML',1,7),;
LINE_13;PRB;0.7;2;('LINE_13','PRB',0.7,2),;
LINE_13;PARA;0.7;1;('LINE_13','PARA',0.7,1),;
LINE_13;REP+EXP;0.6;2;('LINE_13','REP+EXP',0.6,2),;
LINE_14;PREM;1;2;('LINE_14','PREM',1,2),;
LINE_14;ML;1;7;('LINE_14','ML',1,7),;
LINE_14;PRB;0.7;2;('LINE_14','PRB',0.7,2),;
LINE_14;PARA;0.7;1;('LINE_14','PARA',0.7,1),;
LINE_14;REP+EXP;0.6;2;('LINE_14','REP+EXP',0.6,2),;
LINE_15;PREM;1;2;('LINE_15','PREM',1,2),;
LINE_15;ML;1;7;('LINE_15','ML',1,7),;
LINE_15;PRB;0.7;2;('LINE_15','PRB',0.7,2),;
LINE_15;PARA;0.7;1;('LINE_15','PARA',0.7,1),;
LINE_15;REP+EXP;0.6;2;('LINE_15','REP+EXP',0.6,2),;
LINE_16;PREM;1;2;('LINE_16','PREM',1,2),;
LINE_16;ML;1;7;('LINE_16','ML',1,7),;
LINE_16;PRB;0.7;2;('LINE_16','PRB',0.7,2),;
LINE_16;PARA;0.7;1;('LINE_16','PARA',0.7,1),;
LINE_16;REP+EXP;0.6;2;('LINE_16','REP+EXP',0.6,2),;
LINE_17;PREM;1;2;('LINE_17','PREM',1,2),;
LINE_17;ML;1;7;('LINE_17','ML',1,7),;
LINE_17;PRB;0.7;2;('LINE_17','PRB',0.7,2),;
LINE_17;PARA;0.7;1;('LINE_17','PARA',0.7,1),;
LINE_17;REP+EXP;0.6;2;('LINE_17','REP+EXP',0.6,2),;
LINE_18;PREM;1;3;('LINE_18','PREM',1,3),;
LINE_18;ML;1;8;('LINE_18','ML',1,8),;
LINE_18;PRB;0.7;2;('LINE_18','PRB',0.7,2),;
LINE_18;PARA;0.7;1;('LINE_18','PARA',0.7,1),;
LINE_18;REP+EXP;0.6;2;('LINE_18','REP+EXP',0.6,2),;
