Semanas año;50;;;;;;;;;;
;;;;;;;;;;;
model;process;cycle_time;;cap uds/sem;;cap uds/año;;cap horas/sem;;cap horas/año;
PT0163;PREM;46;;;;;;;;;
PT0163;ML;48;;;;;;;;;
PT0163;PTBI;6,9;;;;;;;;;
PT0163;PTBA;5;;;;;;;;;
PT0163;TBQ;5;;;;;;;;;
PT0163;PACK;60;;;;;;;;;
Total PT0163;;170,9;;8,600;;430,0;;1469,74;;73487,0;
TF900;PREM;5,5;;;;0,0;;0;;0,0;
TF900;ML;6,2;;;;0,0;;0;;0,0;
TF900;PTBI;3;;;;0,0;;0;;0,0;
TF900;PTBA;4;;;;0,0;;0;;0,0;
TF900;TBQ;4;;;;0,0;;0;;0,0;
TF900;PACK;200;;;;0,0;;0;;0,0;
Total TF900;;222,7;;10,750;Max;537,500;Max;2394,025;Max;119701,250;Max
PT0189;PREM;7,2;;;;0,0;;0;;0,0;
PT0189;ML;7,9;;;;0,0;;0;;0,0;
PT0189;PTBI;9,1;;;;0,0;;0;;0,0;
PT0189;PTBA;3;;;;0,0;;0;;0,0;
PT0189;TBQ;3;;;;0,0;;0;;0,0;
PT0189;PACK;130;;;;0,0;;0;;0,0;
Total PT0189;;160,2;;9,45;;472,5;;1513,978022;;75698,9;
AAA;ML;60;;;;0;;0;;0,0;
Total AAA;;60;;7,167;Min;358,3;Min;430;Min;21500;Min
Total general;;613,8;;8,9918;Promedio;449,5902;Promedio;1451,9358;promedio;72596,7878;promedio
