line;model;Demanda (UDS/SEM);Capacidad (UDS/SEM);Saturación (%);Déficit (UDS/SEM);bottleneck;Demanda (UDS/AÑO);50;Capacidad (UDS/AÑO);;Demanda (h/SEM);43;Capacidad (h/SEM);;Demanda (h/AÑO);;Capacidad (h/AÑO);
LINE_A;AAA;6;7,2;84;0;ML;300,0;300,0;358,3;358,0;360,0;360,0;430,0;429,6;18.000,0;18.000,0;21.500,0;21.500,0
LINE_B;PT0163;8;8,6;93;0;PTBA;400,0;400,0;430,0;430,0;1.367,2;1.367,2;1.469,7;1.469,7;68.360,0;68.360,0;73.487,0;73.487,0
LINE_C;TF900;0;6,5;0;0;PACK;0,0;0,0;322,5;322,5;0,0;;1.436,4;;0,0;;71.820,8;
LINE_D;PT0193;0;0,0;0;0;;0,0;0,0;0,0;0,0;0,0;;0,0;;0,0;;0,0;
LINE_E;PT0163;0;0,7;0;0;PACK;0,0;0,0;35,8;35,8;0,0;;122,5;;0,0;;6.123,9;
LINE_F;PT0163;0;0,7;0;0;PACK;0,0;0,0;35,8;35,8;0,0;;122,5;;0,0;;6.123,9;
LINE_G;PT0163;0;0,7;0;0;PACK;0,0;0,0;35,8;35,8;0,0;;122,5;;0,0;;6.123,9;
LINE_H;PT0163;0;0,7;0;0;PACK;0,0;0,0;35,8;35,8;0,0;;122,5;;0,0;;6.123,9;
LINE_I;AAA;0;4,3;0;0;ML;0,0;0,0;215,0;215,0;0,0;;258,0;;0,0;;12.900,0;
TOTAL;;14;29,4;;;;700,0;700,0;1.469,2;1.469,2;1.727,2;;4.084,1;;86.360,0;;204.203,4;
